host,ip,port,protocol,title,domain,country,city,link,org
ua.givemebountys.xyz:8088,185.213.27.134,8088,http,Directory listing for /,givemebountys.xyz,FR,Lauterbourg,http://ua.givemebountys.xyz:8088,Contabo GmbH
204.44.122.218:2080,204.44.122.218,2080,http,Directory listing for /,,US,Buffalo,http://204.44.122.218:2080,HostPapa
https://209.248.48.23,209.248.48.23,443,https,Index of /,,US,Little Rock,https://209.248.48.23,SAKURA LTD.
170.106.84.131:8081,170.106.84.131,8081,http,Directory listing for /,,US,Santa Clara,http://170.106.84.131:8081,"Tencent Building, Kejizhongyi Avenue"
120.48.125.117,120.48.125.117,80,http,Index of /,,CN,Beijing,http://120.48.125.117,"Beijing Baidu Netcom Science and Technology Co., Ltd."
47.251.108.158,47.251.108.158,80,http,Directory listing for /,,US,Los Angeles,http://47.251.108.158,"Alibaba (US) Technology Co., Ltd."
82.47.24.188:8081,82.47.24.188,8081,http,Directory listing for /,,GB,Sheffield,http://82.47.24.188:8081,"Cogent Communications, LLC"
20.46.163.222:8000,20.46.163.222,8000,http,Directory listing for /,,JP,Tokyo,http://20.46.163.222:8000,Microsoft Corporation
193.42.124.197:8090,193.42.124.197,8090,http,Directory listing for /,,RU,Moscow,http://193.42.124.197:8090,Beget LLC
216.227.140.194,216.227.140.194,80,http,Index of /,,US,Destin,http://216.227.140.194,FDCservers.net
https://slugclojure.ahungry.com,69.164.215.200,443,https,Slugclojure - useful curated index of things,ahungry.com,US,Cedar Knolls,https://slugclojure.ahungry.com,Akamai Connected Cloud
157.254.131.50,157.254.131.50,80,http,Directory listing for /,,LT,Vilnius,http://157.254.131.50,Itsumiku
47.85.19.133:8081,47.85.19.133,8081,http,Directory listing for /,,US,Virginia Beach,http://47.85.19.133:8081,"Alibaba (US) Technology Co., Ltd."
163.192.30.21:8090,163.192.30.21,8090,http,Directory listing for /,,US,San Jose,http://163.192.30.21:8090,Oracle Corporation
143.198.135.172,143.198.135.172,80,http,Index of /,,US,Santa Clara,http://143.198.135.172,"DigitalOcean, LLC"
154.26.177.228:8080,154.26.177.228,8080,http,Directory listing for /,,US,Los Angeles,http://154.26.177.228:8080,DMIT Cloud Services
72.11.133.147:8080,72.11.133.147,8080,http,Directory listing for /,,US,Buffalo,http://72.11.133.147:8080,HostPapa
8.219.150.189:8080,8.219.150.189,8080,http,Directory listing for /,,SG,Singapore,http://8.219.150.189:8080,"Alibaba (US) Technology Co., Ltd."
157.230.39.58,157.230.39.58,80,http,Directory listing for /,,SG,Singapore,http://157.230.39.58,"DigitalOcean, LLC"
118.178.57.62:3000,118.178.57.62,3000,http,Index of /,,CN,Hangzhou,http://118.178.57.62:3000,"Hangzhou Alibaba Advertising Co.,Ltd."
95.179.166.12:8080,95.179.166.12,8080,http,WsgiDAV - Index of / ,,DE,Frankfurt am Main,http://95.179.166.12:8080,"The Constant Company, LLC"
179.255.117.226:8080,179.255.117.226,8080,http,Directory listing for /,,BR,Rio de Janeiro,http://179.255.117.226:8080,DMIT Cloud Services
192.236.145.10:8080,192.236.145.10,8080,http,Directory listing for /,,US,Seattle,http://192.236.145.10:8080,HostPapa
43.111.226.19:8080,43.111.226.19,8080,http,Directory listing for /,,US,Virginia Beach,http://43.111.226.19:8080,"Alibaba (US) Technology Co., Ltd."
161.33.24.147:8080,161.33.24.147,8080,http,Directory listing for /,,JP,Osaka,http://161.33.24.147:8080,Oracle Corporation
https://gallery.satellite.dvo.ru,94.198.16.38,443,https,Index of / on satellite,dvo.ru,RU,Vladivostok,https://gallery.satellite.dvo.ru,Institute for automation and control processes of Far Eastern Branch of RAS
38.147.172.139:8080,38.147.172.139,8080,http,Directory listing for /,,US,Los Angeles,http://38.147.172.139:8080,LUCIDACLOUD LIMITED
108.187.15.253:8080,108.187.15.253,8080,http,Directory listing for /,,US,Westlake Village,http://108.187.15.253:8080,Antbox Networks Limited
179.255.158.131:8080,179.255.158.131,8080,http,Directory listing for /,,BR,Rio de Janeiro,http://179.255.158.131:8080,DMIT Cloud Services
23.238.26.75:8080,23.238.26.75,8080,http,Directory listing for /,,US,Seattle,http://23.238.26.75:8080,HostPapa
74.1.84.19:8080,74.1.84.19,8080,http,Directory listing for /,,BR,Fortaleza,http://74.1.84.19:8080,Ferenz Networks
47.236.182.45:8080,47.236.182.45,8080,http,Directory listing for /,,SG,Singapore,http://47.236.182.45:8080,"Alibaba (US) Technology Co., Ltd."
82.65.24.34:8080,82.65.24.34,8080,http,Index of /,,FR,Antibes,http://82.65.24.34:8080,Free SAS
47.75.111.25:8080,47.75.111.25,8080,http,Directory listing for /,,CN,Hong Kong,http://47.75.111.25:8080,"Alibaba (US) Technology Co., Ltd."
89.127.211.92:8080,89.127.211.92,8080,http,Directory listing for /,,IE,Dublin,http://89.127.211.92:8080,Fornex Hosting S.L.
80.85.245.71:8080,80.85.245.71,8080,http,Directory listing for /,,NL,Amsterdam,http://80.85.245.71:8080,Servers Tech Fzco
154.9.251.245:8080,154.9.251.245,8080,http,Directory listing for /,,US,Los Angeles,http://154.9.251.245:8080,NetLab Global
49.234.58.91:8080,49.234.58.91,8080,http,Directory listing for /,,CN,Beijing,http://49.234.58.91:8080,Shenzhen Tencent Computer Systems Company Limited
45.207.207.251:8080,45.207.207.251,8080,http,Directory listing for /,,CN,Hong Kong,http://45.207.207.251:8080,Zenixcloud
45.207.207.25:8080,45.207.207.25,8080,http,Directory listing for /,,CN,Hong Kong,http://45.207.207.25:8080,Zenixcloud
173.254.236.235:8080,173.254.236.235,8080,http,Directory listing for /,,US,Buffalo,http://173.254.236.235:8080,HostPapa
179.253.232.197:8080,179.253.232.197,8080,http,Directory listing for /,,BR,Rio de Janeiro,http://179.253.232.197:8080,DMIT Cloud Services
45.143.131.35:8080,45.143.131.35,8080,http,Directory listing for /,,JP,Tokyo,http://45.143.131.35:8080,xTom Japan Corporation
66.154.113.132:8080,66.154.113.132,8080,http,Directory listing for /,,CA,Vancouver,http://66.154.113.132:8080,"CYBERCON, INC."
70.39.182.227:8080,70.39.182.227,8080,http,Directory listing for /,,US,Los Angeles,http://70.39.182.227:8080,GTT Communications Inc.
47.97.0.150:8080,47.97.0.150,8080,http,Directory listing for /,,CN,Hangzhou,http://47.97.0.150:8080,"Hangzhou Alibaba Advertising Co.,Ltd."
45.196.215.148:8080,45.196.215.148,8080,http,Directory listing for /,,IT,Milan,http://45.196.215.148:8080,AKILE LTD
69.63.218.125:8080,69.63.218.125,8080,http,Directory listing for /,,US,Los Angeles,http://69.63.218.125:8080,DMIT Cloud Services
107.173.178.139:8080,107.173.178.139,8080,http,Directory listing for /,,US,Buffalo,http://107.173.178.139:8080,HostPapa
62.72.163.102:8080,62.72.163.102,8080,http,Directory listing for /,,CN,Hong Kong,http://62.72.163.102:8080,WAP.AC LLC
117.175.182.97:8081,117.175.182.97,8081,http,Index of /,,CN,Beijing,http://117.175.182.97:8081,"China Mobile Communications Group Co., Ltd."
23.27.28.64:8080,23.27.28.64,8080,http,Index of /,,MY,Kuala Lumpur,http://23.27.28.64:8080,Evoxt Sdn. Bhd.
38.77.133.69:8080,38.77.133.69,8080,http,Directory listing for /,,US,New York City,http://38.77.133.69:8080,"Cogent Communications, LLC"
206.237.120.91:8080,206.237.120.91,8080,http,Directory listing for /,,CN,Hong Kong,http://206.237.120.91:8080,VMISS Inc.
209.146.101.161:8080,209.146.101.161,8080,http,Directory listing for /,,US,Los Angeles,http://209.146.101.161:8080,"Cogent Communications, LLC"
96.9.231.250:8080,96.9.231.250,8080,http,Directory listing for /,,US,Miami,http://96.9.231.250:8080,xTom Pty Ltd
45.142.126.23:8080,45.142.126.23,8080,http,Directory listing for /,,JP,Tokyo,http://45.142.126.23:8080,xTom Japan Corporation
163.245.192.92:8080,163.245.192.92,8080,http,Directory listing for /,,US,Secaucus,http://163.245.192.92:8080,"Interserver, Inc"
43.108.84.132:8080,43.108.84.132,8080,http,Directory listing for /,,KR,Seoul,http://43.108.84.132:8080,"Alibaba (US) Technology Co., Ltd."
38.148.249.115:8080,38.148.249.115,8080,http,Directory listing for /,,US,Los Angeles,http://38.148.249.115:8080,FASTNET DATA INC
82.47.24.164:8081,82.47.24.164,8081,http,Directory listing for /,,GB,Sheffield,http://82.47.24.164:8081,"Cogent Communications, LLC"
38.64.60.93:8080,38.64.60.93,8080,http,Directory listing for /,,US,El Segundo,http://38.64.60.93:8080,EASY LINK LLC
157.250.195.20:8080,157.250.195.20,8080,http,Directory listing for /,,US,Secaucus,http://157.250.195.20:8080,"Interserver, Inc"
192.220.99.61:8080,192.220.99.61,8080,http,Directory listing for /,,US,Redmond,http://192.220.99.61:8080,"NTT America, Inc."
43.166.154.238:8080,43.166.154.238,8080,http,Directory listing for /,,US,Ashburn,http://43.166.154.238:8080,"Tencent Building, Kejizhongyi Avenue"
43.155.208.90:8080,43.155.208.90,8080,http,Directory listing for /,,KR,Seoul,http://43.155.208.90:8080,"Tencent Building, Kejizhongyi Avenue"
170.64.194.56:8090,170.64.194.56,8090,http,Directory listing for /,,AU,Sydney,http://170.64.194.56:8090,"DigitalOcean, LLC"
162.221.200.181,162.221.200.181,80,http,Index of /,,CA,Coquitlam,http://162.221.200.181,eSecureData
35.212.240.128,35.212.240.128,80,http,Directory listing for /,,US,The Dalles,http://35.212.240.128,Google LLC
43.160.218.45:8090,43.160.218.45,8090,http,Directory listing for /,,SG,Singapore,http://43.160.218.45:8090,"Tencent Building, Kejizhongyi Avenue"
34.150.68.221,34.150.68.221,80,http,Directory listing for /,,CN,Hong Kong,http://34.150.68.221,Google LLC
161.35.0.17:8090,161.35.0.17,8090,http,Directory listing for /,,US,North Bergen,http://161.35.0.17:8090,"DigitalOcean, LLC"
43.155.171.8:8081,43.155.171.8,8081,http,Directory listing for /,,KR,Seoul,http://43.155.171.8:8081,"Tencent Building, Kejizhongyi Avenue"
176.122.173.89:8088,176.122.173.89,8088,http,Directory listing for /,,US,Los Angeles,http://176.122.173.89:8088,IT7 Networks Inc
185.213.27.134:8088,185.213.27.134,8088,http,Directory listing for /,,FR,Lauterbourg,http://185.213.27.134:8088,Contabo GmbH
45.76.195.108:8088,45.76.195.108,8088,http,Directory listing for /,,JP,Tokyo,http://45.76.195.108:8088,"The Constant Company, LLC"
149.28.45.156:8088,149.28.45.156,8088,http,Directory listing for /,,US,Piscataway,http://149.28.45.156:8088,"The Constant Company, LLC"
34.242.167.190,34.242.167.190,80,http,Directory listing for /,,IE,Dublin,http://34.242.167.190,"Amazon.com, Inc."
120.244.125.9:88,120.244.125.9,88,http,Index of /,,CN,Beijing,http://120.244.125.9:88,China Mobile Communicaitons Corporation
https://dev2.corepilot.dev:8443,191.222.208.150,8443,https,Directory listing for /,corepilot.dev,BR,Rio de Janeiro,https://dev2.corepilot.dev:8443,DMIT Cloud Services
https://distfiles.openadk.org,172.67.172.223,443,https,Index of /,openadk.org,US,San Francisco,https://distfiles.openadk.org,"Cloudflare, Inc."
sub.51baidu.cc.cd,172.67.193.159,80,http,Directory listing for /,cc.cd,US,San Francisco,http://sub.51baidu.cc.cd,"Cloudflare, Inc."
164.92.65.169:8888,164.92.65.169,8888,http,Directory listing for /,,US,Santa Clara,http://164.92.65.169:8888,"DigitalOcean, LLC"
